date,hour,temp
2014/8/30,15,25
2014/8/30,16,24.3
2014/8/30,17,23.7
2014/8/30,18,22.9
2014/8/30,19,22.7
2014/8/30,20,22.4
2014/8/30,21,22.5
2014/8/30,22,22.1
2014/8/30,23,22
2014/8/31,0,21.9
2014/8/31,1,21.8
2014/8/31,2,21.9
2014/8/31,3,21.6
2014/8/31,4,21.4
2014/8/31,5,21.4
2014/8/31,6,21.7
2014/8/31,7,22.4
2014/8/31,8,22.9
2014/8/31,9,23.1
2014/8/31,10,23.3
2014/8/31,11,24.5
2014/8/31,12,24.3
2014/8/31,13,25.4
2014/8/31,14,25.7
2014/8/31,15,25.4
2014/8/31,16,25.4
2014/8/31,17,24.6
2014/8/31,18,23.9
2014/8/31,19,23.1
2014/8/31,20,22.8
2014/8/31,21,22.7
2014/8/31,22,22.6
2014/8/31,23,22.6
